talk_id,external_id,internal_id,title,abstract,authors,areas,has_video
"09.5","0186","186","Asymptotically Optimal Planning for Non-Myopic Multi-Robot Information Gathering","This paper proposes a novel highly scalable sampling-based planning algorithm for multi-robot active information acquisition tasks in complex environments. Active information gathering scenarios include target localization and tracking, active SLAM, surveillance, environmental monitoring and others. The objective is to compute control policies for sensing robots which minimize the accumulated uncertainty of a dynamic hidden state over an a priori unknown horizon. To address this problem, we propose a new sampling-based algorithm that simultaneously explores both the robot motion space and the reachable information space. Unlike relevant sampling-based approaches, we show that the proposed algorithm is probabilistically complete, asymptotically optimal and is supported by convergence rate bounds. Moreover, we demonstrate that by introducing bias in the sampling process towards informative areas, the proposed method can quickly compute sensor policies that achieve desired levels of uncertainty in large-scale estimation tasks that may involve large sensor teams, workspaces, and dimensions of the hidden state. We provide extensive simulation results that corroborate the theoretical analysis and show that the proposed algorithm can address large-scale estimation tasks which were previously infeasible.","Kantaros, Yiannis; Schlotfeldt, Brent; Atanasov, Nikolay; Pappas, George J.",,0,
"BSP.1","0190","190","Network Offloading Policies for Cloud Robotics: A Learning-Based Approach","Today's robotic systems are increasingly turning to computationally expensive models such as deep neural networks (DNNs) for tasks like localization, perception, planning, and object detection. However, resource-constrained robots, like low-power drones, often have insufficient on-board compute resources or power reserves to scalably run the most accurate, state-of-the art neural network compute models.  Cloud robotics allows mobile robots the benefit of offloading compute to centralized servers if they are uncertain locally or want to run more accurate, compute-intensive models. However, cloud robotics comes with a key, often understated cost: communicating with the cloud over congested wireless networks may result in latency or loss of data. In fact, sending high data-rate video or LIDAR from multiple robots over congested networks can lead to prohibitive delay for real-time applications, which we measure experimentally. In this paper, we formulate a novel Robot Offloading Problem - how and when should robots offload sensing tasks, especially if they are uncertain, to improve accuracy while minimizing the cost of cloud communication? We formulate offloading as a sequential decision making problem for robots, and propose a solution using deep reinforcement learning. In both simulations and hardware experiments using state-of-the art vision DNNs, our offloading strategy improves vision task performance by between 1.3-2.3x of benchmark offloading strategies, allowing robots the potential to significantly transcend their on-board sensing accuracy but with limited cost of cloud communication.","Chinchali, Sandeep; Sharma, Apoorva; Harrison, James; Elhafsi, Amine; Kang, Daniel; Pergament, Evgenya; Cidon, Eyal; Katti, Sachin; Pavone, Marco",,0,
"04.2","0193","193","Learning to Plan with Logical Automata","This paper introduces the Logic-based Value Iteration Network (LVIN) framework, which combines imitation learning and logical automata to enable agents to learn complex behaviors from demonstrations. We address two problems with learning from expert knowledge: (1) how to generalize learned policies for a task to larger classes of tasks, and (2) how to account for erroneous demonstrations. Our LVIN model solves finite gridworld environments by instantiating a recurrent, convolutional neural network as a value iteration procedure over a learned Markov Decision Process (MDP) that factors into two MDPs: a small finite state automaton (FSA) corresponding to logical rules, and a larger MDP corresponding to motions in the environment. The parameters of LVIN (value function, reward map, FSA transitions, large MDP transitions) are approximately learned from expert trajectories. Since the model represents the learned rules as an FSA, the model is interpretable; since the FSA is integrated into planning, the behavior of the agent can be manipulated by modifying the FSA transitions. We demonstrate these abilities in several domains of interest, including a lunchbox-packing manipulation task and a driving domain.","Araki, Brandon; Vodrahalli, Kiran; Leech, Thomas; Vasile, Cristian Ioan; Donahue, Mark; Rus, Daniela",,0,
"06.4","0196","196","Inverting Learned Dynamics Models for Aggressive Multirotor Control","We present a control strategy that applies inverse dynamics to a learned acceleration error model for accurate multirotor control input generation. This allows us to retain accurate trajectory and control input generation despite the presence of exogenous disturbances and modeling errors. Although accurate control input generation is traditionally possible when combined with parameter learning-based techniques, we propose a method that can do so while solving the relatively easier non-parametric model learning problem. We show that our technique is able to compensate for a larger class of model disturbances than traditional techniques can and we show reduced tracking error while following trajectories demanding accelerations of more than 7 m/s^2 in multirotor simulation and hardware experiments.","Spitzer, Alexander; Michael, Nathan",,0,
"09.1","0197","197","Scalable and Congestion-Aware Routing for Autonomous Mobility-On-Demand Via Frank-Wolfe Optimization","We consider the problem of vehicle routing for Autonomous Mobility-on-Demand (AMoD) systems, wherein a fleet of self-driving vehicles provides on-demand mobility in a given environment. Specifically, the task it to compute routes for the vehicles (both customer-carrying and empty travelling) so that travel demand is fulfilled and operational cost is minimized. The routing process must account for congestion effects affecting travel times, as modeled via a volume-delay function (VDF). Route planning with VDF constraints is notoriously challenging, as such constraints compound the combinatorial complexity of the routing optimization process. Thus, current solutions for AMoD routing resort to relaxations of the congestion constraints, thereby trading optimality with computational efficiency. In this paper, we present the first computationally-efficient approach for AMoD routing where VDF constraints are explicitly accounted for. We demonstrate that our approach is faster by at least one order of magnitude with respect to the state of the art, while providing higher quality solutions. From a methodological standpoint, the key technical insight is to establish a mathematical reduction of the AMoD routing problem to the classical traffic assignment problem (a related vehicle-routing problem where empty traveling vehicles are not present). Such a reduction allows us to extend powerful algorithmic tools for traffic    assignment, which combine the classic Frank-Wolfe algorithm with modern techniques for pathfinding, to the AMoD routing problem. We provide strong theoretical guarantees for our approach in terms of near-optimality of the returned solution.","Solovey, Kiril; Salazar, Mauro; Pavone, Marco",,0,
"10.5","0204","204","A Hierarchical Geometric Framework to Design Locomotive Gaits for Highly Articulated Robots","Motion planning for mobile robots with many degrees-of-freedom (DoF) is challenging due to their high-dimensional configuration spaces. To manage this curse of dimensionality, this paper proposes a new hierarchical framework that decomposes the system into sub-systems (based on shared capabilities of DoFs), for which we can design and coordinate motions. Instead of constructing a high-dimensional configuration space, we establish a hierarchy of two-dimensional spaces on which we can visually design gaits using geometric mechanics tools. We then coordinate motions among the two-dimensional spaces in a pairwise fashion to obtain desired robot locomotion. Further geometric analysis of the two-dimensional spaces allows us to visualize the contribution of each sub-system to the locomotion, as well as the contribution of the coordination among the sub-systems. We demonstrate our approach by designing gaits for quadrupedal robots with different morphologies, and experimentally validate our findings on a robot with a long actuated back and intermediate-sized legs.","Zhong, Baxi; OZKAN-AYDIN, Yasemin; Sartoretti, Guillaume; Rieser, Jennifer; Gong, Chaohui; Xing, Haosen; Goldman, Daniel; Choset, Howie",,0,
"14.2","0205","205","Remote Telemanipulation with Adapting Viewpoints in Visually Complex Environments","In this paper, we introduce a novel method to support remote telemanipulation tasks in complex environments by providing operators with an enhanced view of the task environment. Our method features a novel viewpoint adjustment algorithm designed to automatically mitigate occlusions caused by workspace geometry, supports visual exploration to provide operators with situation awareness in the remote environment, and mediates context-specific visual challenges by making viewpoint adjustments based on sparse input from the user. Our method builds on the dynamic camera telemanipulation viewing paradigm, where a user controls a manipulation robot, and a camera-in-hand robot alongside the manipulation robot servos to provide a sufficient view of the remote environment. We discuss the real-time motion optimization formulation used to arbitrate the various objectives in our shared-control-based method, particularly highlighting how our occlusion avoidance and viewpoint adaptation approaches fit within this framework. We present results from an empirical evaluation of our proposed occlusion avoidance approach as well as a user study that compares our telemanipulation shared-control method against alternative telemanipulation approaches. We discuss the implications of our work for future shared-control research and robotics applications.","Rakita, Daniel; Mutlu, Bilge; Gleicher, Michael",,1,
"10.2","0206","206","Reachable Space Characterization of Markov Decision Processes with Time Variability","We propose a solution to a time-varying variant of Markov Decision Processes which can be used to address the decision-theoretic planning problems for autonomous systems operating in unstructured outdoor environments. We explore the time variability property of the planning stochasticity and investigate the state reachability in order to design an efficient method that can well trade-off the solution optimality and time complexity. The reachability space is constructed by analyzing the means and variances of future states' reaching time. We validate our algorithm through extensive simulations using ocean data and the results show that our method has a great performance in terms of both solution quality and computing time.","Xu, Junhong; Yin, Kai; Liu, Lantao",,0,
"01.2","0208","208","Learning Deep Stochastic Optimal Control Policies Using Forward-Backward SDEs","In this paper we propose a new methodology for decision-making under uncertainty using recent advancements in the areas of nonlinear stochastic optimal control theory, applied mathematics, and machine learning. Grounded on the fundamental relation between certain nonlinear partial differential equations and forward-backward stochastic differential equations, we develop a control framework that is scalable and applicable to general classes of stochastic systems and decision-making problem formulations in robotics and autonomy. The proposed deep neural network architectures for stochastic control consist of recurrent and fully connected layers. The performance and scalability of the aforementioned algorithm are investigated in three non-linear systems in simulation with and without control constraints. We conclude with a discussion on future directions and their implications to robotics.","Wang, Ziyi; Pereira, Marcus; Theodorou, Evangelos",,0,
"05.3","0209","209","Conditional Neural Movement Primitives","Conditional Neural Movement Primitives (CNMPs) is a learning from demonstration framework that is designed as a robotic movement learning and generation system built on top of a recent deep neural architecture, namely Conditional Neural Processes (CNPs). Based on CNPs, CNMPs extract the prior knowledge directly from the training data by sampling observations from it, and uses it to predict a conditional distribution over any other target points. CNMPs specifically learns complex temporal multi-modal sensorimotor relations in connection with external parameters and goals; produces movement trajectories in joint or task space; and executes these trajectories through a high-level feedback control loop. Conditioned with an external goal that is encoded in the sensorimotor space of the robot, predicted sensorimotor trajectory that is expected to be observed during the successful execution of the task is generated by the CNMP, and the corresponding motor commands are executed. In order to detect and react to unexpected events during action execution, CNMP is further conditioned with the actual sensor readings in each time-step. Through simulations and real robot experiments, we showed that CNMPs can learn the non-linear relations between low-dimensional parameter spaces and complex movement trajectories from few demonstrations; and they can also model the associations between high-dimensional sensorimotor spaces and complex motions using large number of demonstrations. The experiments further showed that even the task parameters were not explicitly provided to the system, the robot could learn their influence by associating the learned sensorimotor representations with the movement trajectories. The robot, for example, learned the influence of object weights and shapes through exploiting its sensorimotor space that includes proprioception and force measurements; and be able to change the movement trajectory on the fly when one of these factors were changed through external intervention.","Seker, Muhammet Yunus; Imre, Mert; Piater, Justus; Ugur, Emre",,1,
"10.4","0211","211","Pareto Monte Carlo Tree Search for Multi-Objective Informative Planning","In many environmental monitoring scenarios, the sampling robot needs to simultaneously explore the environment and exploit features of interest with limited time. We present an anytime multi-objective informative planning method called Pareto Monte Carlo Tree Search which allows the robot to handle potentially competing objectives such as exploration versus exploitation. The method produces optimized decision solutions for the robot based on its knowledge (estimation) of the environment state, leading to better adaptation to environmental dynamics. We provide algorithmic analysis on the critical tree node selection step and show that the number of times choosing sub-optimal nodes is logarithmically bounded and the search result converges to the optimal choices at a polynomial rate.","Chen, Weizhe; Liu, Lantao",,1,
"02.5","0217","217","End-To-End Robotic Reinforcement Learning without Reward Engineering","The combination of deep neural network models and reinforcement learning algorithms can make it possible to learn policies for robotic behaviors that directly read in raw sensory inputs, such as camera images, effectively subsuming both estimation and control into one model. However, real-world applications of reinforcement learning must specify the goal of the task by means of a manually programmed reward function, which in practice requires either designing the very same perception pipeline that end-to-end reinforcement learning promises to avoid, or else instrumenting the environment with additional sensors to determine if the task has been performed successfully. In this paper, we propose an approach for removing the need for manual engineering of reward specifications by enabling a robot to learn from a modest number of examples of successful outcomes, followed by actively solicited queries, where the robot shows the user a state and asks for a label to determine whether that state represents successful completion of the task. While requesting labels for every single state would amount to asking the user to manually provide the reward signal, our method requires labels for only a tiny fraction of the states seen during training, making it an efficient and practical approach for learning skills without manually engineered rewards. We evaluate our method on real-world robotic manipulation tasks where the observations consist of images viewed by the robot's camera. In our experiments, our method effectively learns to arrange objects, place books, and drape cloth, directly from images and without any manually specified reward functions, and with only 1-4 hours of interaction with the real world.","Singh, Avi; Yang, Larry; Finn, Chelsea; Levine, Sergey",,0,
"02.2","0219","219","Learning Robotic Manipulation through Visual Planning and Acting","Planning for robotic manipulation requires reasoning about the changes a robot can affect on objects. When such interactions can be modelled analytically, as in domains with rigid objects, efficient planning algorithms exist. However, in both domestic and industrial domains, the objects of interest can be soft, or deformable, and hard to model analytically. For such cases, we posit that a data-driven modelling approach is more suitable. In recent years, progress in deep generative models has produced methods that learn to `imagine' plausible images from data. Building on the recent Causal InfoGAN generative model, in this work we learn to imagine goal-directed object manipulation directly from raw image data of self-supervised interaction of the robot with the object. After learning, given a goal observation of the system, our model can generate an imagined plan -- a sequence of images that transition the object into the desired goal. To execute the plan, we use it as a reference trajectory to track with a visual servoing controller, which we also learn from the data as an inverse dynamics model. In a simulated manipulation task, we show that separating the problem into visual planning and visual tracking control is more sample efficient and more interpretable than alternative data-driven approaches. We further demonstrate our approach on learning to imagine and execute in 3 environments, the final of which is deformable rope manipulation on a PR2 robot.","Wang, Angelina; Kurutach, Thanard; Tamar, Aviv; Abbeel, Pieter",,1,
"08.3","0229","229","Influencing Leading and Following in Human-Robot Teams","Recent efforts in human-robot interaction have been focused on modeling and interacting with single human agents. However, when modeling teams of humans, current models are not able to capture underlying emergent dynamics that define group behavior, such as leading and following. We introduce a mathematical framework that enables robots to influence human teams by modeling emergent leading and following behaviors. We tackle the task in two steps. First, we develop a scalable representation of latent leading-following structures by combining model-based methods and data-driven techniques. Second, we optimize for a robot policy that leverages this representation to influence a human team toward a desired outcome. We demonstrate our approach on three tasks where a robot optimizes for changing a leader-follower relationship, distracting a team, and leading a team towards an optimal goal. Our evaluations show that our representation is scalable with different human team sizes, generalizable across different tasks, and can be used to design meaningful robot policies.","Kwon, Minae; Li, Mengxi; Bucquet, Alexandre; Sadigh, Dorsa",,0,
"07.4","0230","230","Reduced Order vs. Discretized Lumped System Models with Absolute and Relative States for Continuum Manipulators","A reliable, accurate, and yet simple dynamic model is important to analyze, design and control continuum manipulators. Such models should be fast, as simple as possible and user-friendly to be widely accepted by the ever-growing robotics research community. In this study, we introduce two new modeling methods for continuum manipulators: a general reduced-order model (ROM) and a discretized model with absolute states and Euler-Bernoulli beam segments (EBA). Additionally, a new formulation is presented for a recently introduced discretized model based on Euler-Bernoulli beam segments and relative states (EBR). The models are validated in comparison to experimental results for dynamics of a STIFF-FLOP continuum appendage. Our comparison shows higher simulation accuracy (8-14% normalized error) and numerical robustness of the ROM model for a system with small number of states, and computational efficiency of the EBA model with near real-time performances that makes it suitable for large systems. The challenges with designing control and observation scenarios are briefly discussed in the end.","Sadati, Seyedmohammadhadi; Shiva, Ali; Naghibi, Seyedeh Elnaz; Rucker, Caleb; Renson, Ludovic; Bergeles, Christos; Althoefer, Kaspar; Nanayakkara, Thrishantha; Hauser, Helmut; Walker, Ian",,0,
"BPA.2","0233","233","Commonsense Reasoning and Knowledge Acquisition to Guide Deep Learning on Robots","Algorithms based on deep network models are being used for many pattern recognition and decision-making tasks in robotics and AI. Training these models requires a large labeled dataset and considerable computational resources, which are not readily available in many domains. Also, it is difficult to understand the internal representations and reasoning mechanisms of these models. The architecture described in this paper attempts to address these limitations by drawing inspiration from research in cognitive systems. It uses non-monotonic logical reasoning with incomplete commonsense domain knowledge, and inductive learning of previously unknown constraints on the domain's states, to guide the construction of deep network models based on a small number of relevant training examples. As a motivating example, we consider a robot reasoning about the stability and partial occlusion of configurations of objects in simulated images. Experimental results indicate that in comparison with an architecture based just on deep networks, our architecture improves reliability, and reduces the sample complexity and time complexity of training deep networks.","Mota, Tiago; Sridharan, Mohan",,0,
"14.3","0235","235","Trajectory Optimization on Manifolds: A Theoretically-Guaranteed Embedded Sequential Convex Programming Approach","Sequential Convex Programming (SCP) has recently gained popularity as a tool for trajectory optimization due to its sound theoretical properties and practical performance. Yet, most SCP-based methods for trajectory optimization are restricted to Euclidean settings, which precludes their application to problem instances where one must reason about manifold-type constraints (that is, constraints, such as loop closure, which restrict the motion of a system to a subset of the ambient space). The aim of this paper is to fill this gap by extending SCP-based trajectory optimization methods to a manifold setting. The key insight is to leverage geometric embeddings to lift a manifold-constrained trajectory optimization problem into an equivalent problem defined over a space enjoying a Euclidean structure. This insight allows one to extend existing SCP methods to a manifold setting in a fairly natural way. In particular, we present a SCP algorithm for manifold problems with refined theoretical guarantees that resemble those derived for the Euclidean setting, and demonstrate its practical performance via numerical experiments.","Bonalli, Riccardo; Cauligi, Abhishek; Bylard, Andrew; Lew, Thomas; Pavone, Marco",,1,
"07.1","0238","238","Motion Planning, Design Optimization and Fabrication of Ferromagnetic Swimmers","Small-scale robots have the potential to impact many areas of medicine and manufacturing including targeted drug delivery, telemetry and micromanipulation. This paper develops an algorithmic framework for regulating external magnetic fields to induce motion in millimeter-scale robots in a viscous liquid, to simulate the physics of swimming at the micrometer scale. Our approach for planning motions for these swimmers is based on tools from geometric mechanics that provide a novel means to design periodic changes in the physical shape of a robot that propels it in a desired direction. Using these tools, we are able to derive new motion primitives for generating locomotion in these swimmers. We use these primitives for optimizing swimming efficiency as a function of its internal magnetization and describe a principled approach to encode the best magnetization distributions in the swimmers. We validate this procedure experimentally and conclude by implementing these newly computed motion primitives on several magnetic swimmer prototypes that include two-link and three-link swimmers.","Grover, Jaskaran Singh; Vedova, Daniel; Jain, Nalini; Travers, Matthew; Choset, Howie",,1,
"08.1","0248","248","Bayesian Estimator for Partial Trajectory Alignment","The problem of temporal alignment of time series is common across many fields of study. Within the domain of robotics, human motion trajectories are one type of time series that is often utilized for recognition and prediction of human intent. In these applications, online temporal alignment of partial trajectories to a full representative trajectory is of particular interest, as it is desirable to make accurate intent prediction decisions early in a motion in order to enable proactive robot behavior. This is a particularly difficult problem, however, due to the potential for overlapping trajectory regions and temporary stops, both of which can degrade the performance of existing alignment techniques. Furthermore, it is desirable to not only provide the most likely alignment but also characterize the uncertainty around it, which current methods are unable to accomplish. To address these difficulties and drawbacks, we present BEST-PTA, a framework that combines optimization, supervised learning, and unsupervised learning components in order to build a Bayesian model that outputs distributions over likely correspondence points based on observed partial trajectory data. Through an evaluation incorporating multiple datasets, we show that BEST-PTA outperforms previous alignment techniques; furthermore, we demonstrate that this improvement can significantly boost human motion prediction performance and discuss the implications of these results on improving the quality of human-robot interaction.","Lasota, Przemyslaw A.; Shah, Julie A.",,0,
"14.5","0251","251","Semi-Autonomous Robot Teleoperation with Obstacle Avoidance Via Model Predictive Control","This paper proposes a model predictive control (MPC) approach for semi-autonomous teleoperation of robot manipulators: the focus is on automatically avoiding singular configurations of the robot and obstacles in the robot workspace with the whole robot frame, exploiting predictions of the operators motion. The hand pose of the human operator provides the reference for the end effector, and the robot motion is continuously replanned in real time, satisfying several constraints (including, in addition to those above mentioned, limits on joint accelerations, velocities and positions). An experimental case study is described regarding the design and testing of the proposed framework on a UR5 manipulator: the discussion of the experimental results confirms the suitability of the proposed method for semi-autonomous robot teleoperation, both in terms of performance (tracking capability and constraint satisfaction) and computational complexity (the MPC control law is calculated well within the sampling interval).","Rubagotti, Matteo; Taunyazov, Tasbolat; Omarali, Bukeikhan; Shintemirov, Almas",,0,
"11.5","0279","279","VIMO: Simultaneous Visual Inertial Model-Based Odometry and Force Estimation","In recent years, many approaches to Visual Inertial Odometry (VIO) have become available. However, they neither exploit the robot's dynamics and known actuation inputs, nor differentiate between desired motion due to actuation and unwanted perturbation due to external force. For many robotic applications, it is often essential to sense the external force acting on the system due to, for example, interactions, contacts, and disturbances. Adding a motion constraint to an estimator leads to a discrepancy between the model-predicted motion and the actual motion. Our approach exploits this discrepancy and resolves it by simultaneously estimating the motion and the external force. We propose a relative motion constraint combining the robot's dynamics and the external force in a preintegrated residual, resulting in a tightly-coupled, sliding-window estimator exploiting all correlations among all variables. We implement our Visual Inertial Model-based Odometry (VIMO) system is into a state-of-the-art VIO approach and evaluate it against the original pipeline without motion constraints on both simulated and real-world data. The results show that our approach increases the accuracy of the estimator up to 29% compared to the original VIO, and provides external force estimates at no extra computational cost. To the best of our knowledge, this is the first approach exploiting model dynamics by jointly estimating motion and external force. Our implementation will be made available open-source.","Nisar, Barza; Foehn, Philipp; Falanga, Davide; Scaramuzza, Davide",,0,
"13.4","0281","281","Approximate Bayesian Inference in Spatial Environments","Model-based approaches bear great promise for decision making of agents interacting with the physical world. In the context of spatial environments, different types of problems such as localisation, mapping, navigation or autonomous exploration are typically adressed with specialised methods, often relying on detailed knowledge of the system at hand. We express these tasks as probabilistic inference and planning under the umbrella of deep sequential generative models. Using the frameworks of variational inference and neural networks, our method inherits favourable properties such as flexibility, scalability and the ability to learn from data. The method performs comparably to specialised state-of-the-art methodology in two distinct simulated environments.","Mirchev, Atanas; Kayalibay, Baris; Bayer, Justin; Soelch, Maximilian; van der Smagt, Patrick",,1,
"13.5","0285","285","Systematic Handling of Heterogeneous Geometric Primitives in Graph-SLAM Optimization","In this paper, we propose a pose-landmark graph optimization back-end that supports maps consisting of points, lines or planes. Our back-end allows representing both homogeneous (point-point, line-line, plane-plane) and heterogeneous measurements (point-on-line, point-on-plane, line-on-plane). Rather than treating all cases independently, we use a unified formulation that leads to both a compact derivation and a concise implementation. The additional geometric information, deriving from the use of higher-dimension primitives and constraints, yields to increased robustness and widens the convergence basin of our method. We evaluate the proposed formulation both on synthetic and raw data. Finally, we made available an open-source implementation to replicate the experiments.","Aloise, Irvin; Della Corte, Bartolomeo; Nardi, Federico; Grisetti, Giorgio",,0,
"BPA.5","0291","291","Idiothetic Verticality Estimation through Head Stabilization Strategy","The knowledge of the gravitational vertical is fundamental for the autonomous control of humanoids and other free-moving robotic systems such as rovers and drones. This article deals with the hypothesis that the so-called `head stabilization strategy' observed in humans and animals facilitates the estimation of the true vertical from inertial sensing only. This problem is difficult because inertial measurements respond to a combination of gravity and fictitious forces that are hard to disentangle. From simulations and experiments, we found that the angular stabilization of a platform bearing inertial sensors enables the application of the separation principle. This principle, which permits one to design estimators and controllers independently from each other, typically applies to linear systems, but rarely to nonlinear systems. We found empirically that, given inertial measurements, the angular regulation of a platform results in a system that is stable and robust and which provides true vertical estimates as a byproduct of the feedback. We conclude that angularly stabilized inertial measurement platforms could liberate robots from ground-based measurements for postural control, locomotion, and other functions, leading to a true idiothetic sensing modality, that is, not based on any external reference but the gravity field.","Farkhatdinov, Ildar; Michalska, Hannah; Berthoz, Alain; Hayward, Vincent",,0,
